Num_dim,Memory_used
1,6400
2,12800
3,19200
4,25600
5,32000
6,38400
7,44800
8,51200
9,57600
10,64000
11,70400
12,76800
13,83200
14,89600
15,96000
16,102400
17,108800
18,115200
19,121600
20,128000
21,134400
22,140800
23,147200
24,153600
25,160000
26,166400
27,172800
28,179200
29,185600
30,192000
31,198400
32,204800
33,211200
34,217600
35,224000
36,230400
37,236800
38,243200
39,249600
40,256000
41,262400
42,268800
43,275200
44,281600
45,288000
46,294400
47,300800
48,307200
49,313600
50,320000
51,326400
52,332800
53,339200
54,345600
55,352000
56,358400
57,364800
58,371200
59,377600
60,384000
61,390400
62,396800
63,403200
64,409600
65,416000
66,422400
67,428800
68,435200
69,441600
70,448000
71,454400
72,460800
73,467200
74,473600
75,480000
76,486400
77,492800
78,499200
79,505600
80,512000
81,518400
82,524800
83,531200
84,537600
85,544000
86,550400
87,556800
88,563200
89,569600
90,576000
91,582400
92,588800
93,595200
94,601600
95,608000
96,614400
97,620800
98,627200
99,633600
100,640000
101,646400
102,652800
103,659200
104,665600
105,672000
106,678400
107,684800
108,691200
109,697600
110,704000
111,710400
112,716800
113,723200
114,729600
115,736000
116,742400
117,748800
118,755200
119,761600
120,768000
121,774400
122,780800
123,787200
124,793600
125,800000
126,806400
127,812800
128,819200
129,825600
130,832000
131,838400
132,844800
133,851200
134,857600
135,864000
136,870400
137,876800
138,883200
139,889600
140,896000
141,902400
142,908800
143,915200
144,921600
145,928000
146,934400
147,940800
148,947200
149,953600
150,960000
151,966400
152,972800
153,979200
154,985600
155,992000
156,998400
157,1004800
158,1011200
159,1017600
160,1024000
161,1030400
162,1036800
163,1043200
164,1049600
165,1056000
166,1062400
167,1068800
168,1075200
169,1081600
170,1088000
171,1094400
172,1100800
173,1107200
174,1113600
175,1120000
176,1126400
177,1132800
178,1139200
179,1145600
180,1152000
181,1158400
182,1164800
183,1171200
184,1177600
185,1184000
186,1190400
187,1196800
188,1203200
189,1209600
190,1216000
191,1222400
192,1228800
193,1235200
194,1241600
195,1248000
196,1254400
197,1260800
198,1267200
199,1273600
200,1280000
201,1286400
202,1292800
203,1299200
204,1305600
205,1312000
206,1318400
207,1324800
208,1331200
209,1337600
210,1344000
211,1350400
212,1356800
213,1363200
214,1369600
215,1376000
216,1382400
217,1388800
218,1395200
219,1401600
220,1408000
221,1414400
222,1420800
223,1427200
224,1433600
225,1440000
226,1446400
227,1452800
228,1459200
229,1465600
230,1472000
231,1478400
232,1484800
233,1491200
234,1497600
235,1504000
236,1510400
237,1516800
238,1523200
239,1529600
240,1536000
241,1542400
242,1548800
243,1555200
244,1561600
245,1568000
246,1574400
247,1580800
248,1587200
249,1593600
250,1600000
251,1606400
252,1612800
253,1619200
254,1625600
255,1632000
256,1638400
257,1644800
258,1651200
259,1657600
260,1664000
261,1670400
262,1676800
263,1683200
264,1689600
265,1696000
266,1702400
267,1708800
268,1715200
269,1721600
270,1728000
271,1734400
272,1740800
273,1747200
274,1753600
275,1760000
276,1766400
277,1772800
278,1779200
279,1785600
280,1792000
281,1798400
282,1804800
283,1811200
284,1817600
285,1824000
286,1830400
287,1836800
288,1843200
289,1849600
290,1856000
291,1862400
292,1868800
293,1875200
294,1881600
295,1888000
296,1894400
297,1900800
298,1907200
299,1913600
300,1920000
301,1926400
302,1932800
303,1939200
304,1945600
305,1952000
306,1958400
307,1964800
308,1971200
309,1977600
310,1984000
311,1990400
312,1996800
313,2003200
314,2009600
315,2016000
316,2022400
317,2028800
318,2035200
319,2041600
320,2048000
321,2054400
322,2060800
323,2067200
324,2073600
325,2080000
326,2086400
327,2092800
328,2099200
329,2105600
330,2112000
331,2118400
332,2124800
333,2131200
334,2137600
335,2144000
336,2150400
337,2156800
338,2163200
339,2169600
340,2176000
341,2182400
342,2188800
343,2195200
344,2201600
345,2208000
346,2214400
347,2220800
348,2227200
349,2233600
350,2240000
351,2246400
352,2252800
353,2259200
354,2265600
355,2272000
356,2278400
357,2284800
358,2291200
359,2297600
360,2304000
361,2310400
362,2316800
363,2323200
364,2329600
365,2336000
366,2342400
367,2348800
368,2355200
369,2361600
370,2368000
371,2374400
372,2380800
373,2387200
374,2393600
375,2400000
376,2406400
377,2412800
378,2419200
379,2425600
380,2432000
381,2438400
382,2444800
383,2451200
384,2457600
385,2464000
386,2470400
387,2476800
388,2483200
389,2489600
390,2496000
391,2502400
392,2508800
393,2515200
394,2521600
395,2528000
396,2534400
397,2540800
398,2547200
399,2553600
400,2560000
401,2566400
402,2572800
403,2579200
404,2585600
405,2592000
406,2598400
407,2604800
408,2611200
409,2617600
410,2624000
411,2630400
412,2636800
413,2643200
414,2649600
415,2656000
416,2662400
417,2668800
418,2675200
419,2681600
420,2688000
421,2694400
422,2700800
423,2707200
424,2713600
425,2720000
426,2726400
427,2732800
